BlockName,Category,CreatedOn,Crop,DistrictName,KCCCallID,KccAns,QueryText,QueryType,Season,Sector,StateName,day,month,year
PAUNI,Cereals,2025-01-03T09:36:20.4,Wheat,BHANDARA,3385498,"शेतकरी साहेब, 
Proclaim प्रोक्लेम (इमामेक्टिन बेंझोट ५% SG) हे कीटकनाशक ७ ग्रॅम प्रति १५ लिटर पाण्यामध्ये घेऊन फवारणी करावी",FARMER ASKED ABOUT PREVENTING INSECTICIDE SPRAYING ON WHEAT CROP?,	Plant Protection	,NA,AGRICULTURE,MAHARASHTRA,3,1,2025
TUMSAR,Others,2025-01-04T14:21:16.78,Others,BHANDARA,3390048,"शेतकरी साहेब, पीएम किसान योजनेशी संबंधित कोणत्याही तक्रारी किंवा समस्यांसाठी तहसीकार्यालयामध्ये नोडल अधिकारी (कृषी अधिकारी) यांच्याशी संपर्क साधावा किंवा पीएम-किसान हेल्पलाइन क्रमांक : 155261 / 011-24300606 या नंबर वरती संपर्क करावा. धन्यवाद..!","FARMER ASKED ABOUT STATUS OF INSTALLMENT & HELPLINE NUMBER OF PRADHANMANTRI KISAN SANMAN NIDHI YOJANA ?  
",Government Schemes,NA,AGRICULTURE,MAHARASHTRA,4,1,2025
PAUNI,Others,2025-01-07T12:48:39.613,Others,BHANDARA,3403673,"शेतकरी साहेब,
पी.एम.किसान योजनेचे आपले स्टेटस चेक केल्यावर ई-केवायसी पूर्ण झालेली दाखवत नाही, महा-ई-सेवा केंद्रामध्ये जाऊन ई-केवायसी प्रकिया पूर्ण करून घ्यावी. होत नसल्यास तालुका कृषी अधिकाऱ्यांकडे तक्रार अर्ज सादर करावा. धन्यवाद..!
","FARMER ASKED ABOUT STATUS OF INSTALLMENT AND WHERE E-KYC PROCESS IS DONE IN PM KISAN YOJANA?
",Government Schemes,NA,AGRICULTURE,MAHARASHTRA,7,1,2025
SAKOLI,Vegetables,2025-01-12T10:54:02.613,Bitter Gourd,BHANDARA,3429495,कारले पिकामध्ये मर रोग येत असेल तर ब्ल्यू कॉपर ५०० ग्रॅम व कासुगामायसीन २५० मिली २०० लिटर पाण्यामध्ये एकत्रित करून आळवणी करावी धन्यवाद,Farmer asked about wilting in bitter guard crop ?,	Plant Protection	,NA,HORTICULTURE,MAHARASHTRA,12,1,2025
TUMSAR,Vegetables,2025-01-13T10:13:19.627,Tomato,BHANDARA,3434038,"टोमटो पिकातील फळे पोखरणाऱ्या अळीच्या नियंत्रणासाठी- कोराजन (क्लोरँट्रनिलीप्रोल) हे कीटकनाशक ५ मिली प्रति १५ लिटर पाण्यामध्ये घेऊन फवारणी 
",Farmer asking about how to control fruit borer in tomato?,	Plant Protection	,NA,HORTICULTURE,MAHARASHTRA,13,1,2025
TUMSAR,Vegetables,2025-01-14T16:20:53.597,Tomato,BHANDARA,3442183,टोमॅटो पिकामध्ये फळ पोखरणारी अळी नियंत्रणासाठी आपण शेतामध्ये कामगंध सापळे लावावेत .धन्यवाद!,Farmer asks about fruit borer control in tomato crop?,	Plant Protection	,NA,HORTICULTURE,MAHARASHTRA,14,1,2025
SAKOLI,Cereals,2025-01-15T11:45:47.373,Paddy (Dhan),BHANDARA,3444676,"19:19:19 - शेतकरी साहेब,भात  पिकाची सुरुवातीच्या अवस्थेत वाढ होण्यासाठी- १९ १९ १९ हे विद्राव्य खत ८० ग्रॅम + मायक्रोला ३० मिली प्रति १५ लिटर पाण्यामध्ये घेऊन फवारणी करावी. धन्यवाद..!","FARMER ASKED ABOUT USE OF NUTRIENT APPLICATION THROUGH SPRAY FOR GROWTH ON PADDY CROP ?
",Nutrient Management,NA,AGRICULTURE,MAHARASHTRA,15,1,2025
BHANDARA,Others,2025-01-15T13:43:46.11,Others,BHANDARA,3444780,"हवामान विभागाच्या अंदाजानुसार, आपल्या  भंडारा  जिल्हा भंडारा तालुक्यामध्ये पावसाची शक्यता नाही. तापमान कमाल 28  अंश सेल्सियस आणि तापमान 16 अंश सेल्सियस ,वाऱ्याचा वेग ताशी 8 किलोमीटर आहे.हवामान अंदाजानुसार पिकामध्ये पाणी नियोजन फवारणी नियोजन करावे.
",Farmer asked query on Weather,Weather,NA,AGRICULTURE,MAHARASHTRA,15,1,2025
PAUNI,Cereals,2025-01-16T11:59:55.017,Paddy (Dhan),BHANDARA,3450535,इंडोक्समध्ये इंडोक्साकार्ब १४.५% सॅक असते हे कीटकनाशक घाटी आळी साठी शिफारस केलेली आहे तसेच याचे प्रमाण एक मिली अडीच लिटर पाण्यासाठी आहे धन्यवाद !!!,FARMER ASKED ABOUT CONTROL MEASURE FOR STEM BORER IN PADDY CROP?,	Plant Protection	,NA,AGRICULTURE,MAHARASHTRA,16,1,2025
LAKHANDUR,Pulses,2025-01-16T13:18:40.147,Bengal Gram (Gram/Chick Pea/Kabuli/Chana),BHANDARA,3450523,"नमस्कार, हरभरा पिकावरील अळीच्या नियंत्रणासाठी आपण निमअर्क ३ मिली किंवा बॅराझाइड २ मिली प्रति १ लिटर पाणी याप्रमाणे फवारणी करावी. धन्यवाद!",Farmer asked for caterpiller control on gram crop?,	Plant Protection	,NA,AGRICULTURE,MAHARASHTRA,16,1,2025
